Transaction,Type,Input Currency,Input Amount,Output Currency,Output Amount,USD Equivalent,Fee,Fee Currency,Details,Date / Time (UTC)
NXT2Xkp5WIhGFt33Vn9GP6VbZ,Interest,USDT,2.57868300,USDT,2.57868300,$2.58,-,-,"approved / USDT Interest Earned",2024-09-16 05:00:00
NXT6uNUBsLpt3MoObJM3WiqmD,Interest,NEXO,0.06208322,NEXO,0.06208322,$0.06,-,-,"approved / NEXO Interest Earned",2024-09-15 05:00:00
NXT6kvLVmjZj8qnFXeEy9wnOZ,Interest,USDT,2.57800900,USDT,2.57800900,$2.58,-,-,"approved / USDT Interest Earned",2024-09-15 05:00:00
NXT1LtniWEq1Jk6ySx4Afnixa,Withdrawal,USDT,-150.33546600,USDT,150.00000000,$150.36,0.33546636,USDT,"approved / USDT withdrawal",2024-09-14 20:28:01
NXT1mnfs9U5bE7VMKJagKXIHD,Interest,USDT,2.61658700,USDT,2.61658700,$2.62,-,-,"approved / USDT Interest Earned",2024-09-14 05:00:00
NXTq7560sNSGIFU4UOPNNj7x,Interest,NEXO,0.06207655,NEXO,0.06207655,$0.06,-,-,"approved / NEXO Interest Earned",2024-09-14 05:00:00
NXT7ZxnrJ74aftjz2VPxAfmEH,Interest,NEXO,0.06206988,NEXO,0.06206988,$0.06,-,-,"approved / NEXO Interest Earned",2024-09-13 05:00:00
NXT45NsQtfDFBXe04Pg8H10IP,Interest,USDT,2.61590400,USDT,2.61590400,$2.62,-,-,"approved / USDT Interest Earned",2024-09-13 05:00:00
NXT3MPjPQhBPq4zle3imZIjoH,Interest,NEXO,0.06206321,NEXO,0.06206321,$0.06,-,-,"approved / NEXO Interest Earned",2024-09-12 05:00:00
NXT2rwkxMftTL7negz0qDVHn0,Interest,USDT,2.61522100,USDT,2.61522100,$2.62,-,-,"approved / USDT Interest Earned",2024-09-12 05:00:00
NXT5N7gpTGqY7ccBVEnL96nUI,Interest,USDT,2.61453800,USDT,2.61453800,$2.61,-,-,"approved / USDT Interest Earned",2024-09-11 05:00:00
NXT55QQRfzZkf3NfWB5bV2puy,Interest,NEXO,0.06205655,NEXO,0.06205655,$0.06,-,-,"approved / NEXO Interest Earned",2024-09-11 05:00:00
NXTgb6CFjTFJzdgQiuyOww7T,Withdrawal,USDT,-500.31654400,USDT,500.00000000,$500.28,0.31654439,USDT,"approved / USDT withdrawal",2024-09-10 11:59:02
NXT5CGgoGo1kEhZqLk5WgTKfi,Interest,NEXO,0.06204988,NEXO,0.06204988,$0.06,-,-,"approved / NEXO Interest Earned",2024-09-10 05:00:00
NXT1gWQitvxI30cuizU9EgyBk,Interest,USDT,2.74448300,USDT,2.74448300,$2.75,-,-,"approved / USDT Interest Earned",2024-09-10 05:00:00
NXT4cCFUPQ73NLj9ynbVL6YD9,Interest,NEXO,0.06204321,NEXO,0.06204321,$0.06,-,-,"approved / NEXO Interest Earned",2024-09-09 05:00:00
NXT2ncDWiYlRbAfw09EL1yJny,Interest,USDT,2.74376700,USDT,2.74376700,$2.74,-,-,"approved / USDT Interest Earned",2024-09-09 05:00:00
NXT3gTSDZA38BAxPVWtin95a2,Interest,USDT,2.74305000,USDT,2.74305000,$2.74,-,-,"approved / USDT Interest Earned",2024-09-08 05:00:00
NXT1jNMpHFC29vSlASEroD4As,Interest,NEXO,0.06203654,NEXO,0.06203654,$0.06,-,-,"approved / NEXO Interest Earned",2024-09-08 05:00:00
NXT7QBsg6BwxxRPKacTo8xHQN,Interest,NEXO,0.06202988,NEXO,0.06202988,$0.06,-,-,"approved / NEXO Interest Earned",2024-09-07 05:00:00
NXTKFWkWgVVpWJjYzII5ABiZ,Interest,USDT,2.74233400,USDT,2.74233400,$2.74,-,-,"approved / USDT Interest Earned",2024-09-07 05:00:00
NXT7ZCppBBhzfnJzyqKp4NhAa,Interest,NEXO,0.06202321,NEXO,0.06202321,$0.06,-,-,"approved / NEXO Interest Earned",2024-09-06 05:00:00
NXT5mSGDKGwgSNpVqgd3DGmsr,Interest,USDT,2.74161800,USDT,2.74161800,$2.74,-,-,"approved / USDT Interest Earned",2024-09-06 05:00:00
NXT52A4O2muhkm6gm34PCNZPb,Interest,NEXO,0.06201655,NEXO,0.06201655,$0.06,-,-,"approved / NEXO Interest Earned",2024-09-05 05:00:00
NXT3g9Dg1O6L49vbjMsbsY9H7,Interest,USDT,2.74090200,USDT,2.74090200,$2.74,-,-,"approved / USDT Interest Earned",2024-09-05 05:00:00
NXT6AEz1Bs0kyQggIfAFZ5VEv,Interest,NEXO,0.04907039,NEXO,0.04907039,$0.05,-,-,"approved / NEXO Interest Earned",2024-09-04 05:00:00
NXTLr62OVG0Fu87GibFZoYtD,Interest,USDT,2.09289600,USDT,2.09289600,$2.09,-,-,"approved / USDT Interest Earned",2024-09-04 05:00:00
NXT49gkvPDCOwor8b26VZGUYy,Withdrawal,USDT,-700.31782800,USDT,700.00000000,$700.26,0.31782829,USDT,"approved / USDT withdrawal",2024-09-03 16:28:36
NXT35vweuUJVu4a8TnAKvhELS,Exchange Cashback,NEXO,0.12042550,NEXO,0.12042550,$0.12,-,-,"approved / 0.1 % on top of your Exchange transaction",2024-09-03 16:07:09
NXT2EMqVIJUAd2qP0EA3vRWnK,Exchange,USDT,-119.09118600,NEXO,120.42550033,$118.45,-,-,"approved / Exchange Tether to NEXO Token",2024-09-03 16:07:08
NXT2jvfLVfpmtAUzwbdt9guJ1,Exchange Cashback,USDT,3.29859800,USDT,3.29859800,$3.30,-,-,"approved / 0.1 % on top of your Exchange transaction",2024-09-03 16:05:56
NXT1Eqr2rCSbhvXG5eJecrghr,Exchange,EURX,-3016.32000000,USDT,3298.59805500,$3298.66,-,-,"approved / Exchange EURX to Tether",2024-09-03 16:05:55
NXTm8wvOy7CoCxfbR1Z88tDV,Exchange Deposited On,EUR,-3016.32000000,EURX,3016.32000000,$3317.95,-,-,"approved / EUR to EURX",2024-09-03 16:05:00
NXT1Z70omxDO7eZ3PBdDO15iO,Deposit To Exchange,EUR,3016.32000000,EURX,3016.32000000,$3317.95,-,-,"approved / EUR Top Up",2024-09-03 16:05:00
NXT3s3n8jBNFYbUJJGpMKllBI,Interest,USDT,2.09148900,USDT,2.09148900,$2.09,-,-,"approved / USDT Interest Earned",2024-09-03 05:00:00
NXT2NDKZWhZQEotYSwtb6MgCs,Interest,NEXO,0.04905218,NEXO,0.04905218,$0.05,-,-,"approved / NEXO Interest Earned",2024-09-03 05:00:00
NXT3MkxHGK3pyFV44Xz9QzwL0,Interest,USDT,2.09094200,USDT,2.09094200,$2.09,-,-,"approved / USDT Interest Earned",2024-09-02 05:00:00
NXT2JaiNuNCLYWxdNqmqkCwxc,Interest,NEXO,0.04904691,NEXO,0.04904691,$0.05,-,-,"approved / NEXO Interest Earned",2024-09-02 05:00:00
NXT6Fw81ebbmEQCiuau0xfaaf,Interest,USDT,2.09039700,USDT,2.09039700,$2.09,-,-,"approved / USDT Interest Earned",2024-09-01 05:00:00
NXT3GvcnDjLEoLNCOOsGNj6nv,Interest,NEXO,0.04904164,NEXO,0.04904164,$0.05,-,-,"approved / NEXO Interest Earned",2024-09-01 05:00:00
NXT775TGklxE0nH9PcRCnqoMh,Interest,USDT,2.08985100,USDT,2.08985100,$2.09,-,-,"approved / USDT Interest Earned",2024-08-31 05:00:00
NXT6cO7XfLBxqGy93QKQvw2Oe,Interest,NEXO,0.04903637,NEXO,0.04903637,$0.05,-,-,"approved / NEXO Interest Earned",2024-08-31 05:00:00
NXT6VNvEEuYDM0Z8WBBYDcIKq,Interest,USDT,2.08930500,USDT,2.08930500,$2.09,-,-,"approved / USDT Interest Earned",2024-08-30 05:00:00
NXT1gmxtR6Yn1rBRPxmPPZNoW,Interest,NEXO,0.04903110,NEXO,0.04903110,$0.05,-,-,"approved / NEXO Interest Earned",2024-08-30 05:00:00
NXT6ftBD2vo3fMnyeDFDMu2BO,Withdrawal,USDT,-389.00000000,USDT,388.67424795,$389.02,0.32575204,USDT,"approved / USDT withdrawal",2024-08-29 21:41:45
NXT6mbvuurpBgkNVOKlLyIoil,Interest,USDT,2.19032400,USDT,2.19032400,$2.19,-,-,"approved / USDT Interest Earned",2024-08-29 05:00:00
NXT4VX052evDOAbKLSa0JGwZB,Interest,NEXO,0.04902583,NEXO,0.04902583,$0.05,-,-,"approved / NEXO Interest Earned",2024-08-29 05:00:00
NXT2dTQC0hxcHp6Hz0DQFrid4,Interest,NEXO,0.04902056,NEXO,0.04902056,$0.05,-,-,"approved / NEXO Interest Earned",2024-08-28 05:00:00
NXT2DSFml6ElaZ8zrCV7lE6Lc,Interest,USDT,2.18975200,USDT,2.18975200,$2.19,-,-,"approved / USDT Interest Earned",2024-08-28 05:00:00
NXT7IVbrB8WRzbrC6F2PL7CxW,Interest,USDT,2.18918000,USDT,2.18918000,$2.19,-,-,"approved / USDT Interest Earned",2024-08-27 05:00:00
NXT2waaFDUTvi2rXMwAnvg516,Interest,NEXO,0.04901529,NEXO,0.04901529,$0.05,-,-,"approved / NEXO Interest Earned",2024-08-27 05:00:00
NXT411WHkmcVtjIfgEQg7d302,Interest,NEXO,0.04901003,NEXO,0.04901003,$0.05,-,-,"approved / NEXO Interest Earned",2024-08-26 05:00:00
NXT2IfrF4KpyRNptc3dgxSIih,Interest,USDT,2.18860800,USDT,2.18860800,$2.19,-,-,"approved / USDT Interest Earned",2024-08-26 05:00:00
NXT2DQDeLXDLbsR7Z1VsV6xcs,Interest,NEXO,0.04900476,NEXO,0.04900476,$0.05,-,-,"approved / NEXO Interest Earned",2024-08-25 05:00:00
NXTh5HdNl2hMmtC0cMHXPM3Q,Interest,USDT,2.18803700,USDT,2.18803700,$2.19,-,-,"approved / USDT Interest Earned",2024-08-25 05:00:00
NXT54pMXeI8kdJLeaNBvPvuqh,Interest,NEXO,0.04899950,NEXO,0.04899950,$0.05,-,-,"approved / NEXO Interest Earned",2024-08-24 05:00:00
NXT43MWcm1VfkTtuKvHV9phw3,Interest,USDT,2.18746600,USDT,2.18746600,$2.19,-,-,"approved / USDT Interest Earned",2024-08-24 05:00:00
NXT6VAdEqYBc5HRGRUyEgC6fr,Interest,NEXO,0.04899423,NEXO,0.04899423,$0.05,-,-,"approved / NEXO Interest Earned",2024-08-23 05:00:00
NXT2cEM5uPSK92M4Z0NBgsbR3,Interest,USDT,2.18689500,USDT,2.18689500,$2.19,-,-,"approved / USDT Interest Earned",2024-08-23 05:00:00
NXT3fqCNLpgvQ5X0XPmUlCUmH,Interest,USDT,2.18632400,USDT,2.18632400,$2.19,-,-,"approved / USDT Interest Earned",2024-08-22 05:00:00
NXT3WHPfPRxVHtSM2KXBOidt4,Interest,NEXO,0.04898897,NEXO,0.04898897,$0.05,-,-,"approved / NEXO Interest Earned",2024-08-22 05:00:00
NXT1YuR2xmTGebsj0wQA77Gu3,Interest,NEXO,0.04898370,NEXO,0.04898370,$0.05,-,-,"approved / NEXO Interest Earned",2024-08-21 05:00:00
NXTL20L9acgvuz7bjyU2UuFl,Interest,USDT,2.18575300,USDT,2.18575300,$2.19,-,-,"approved / USDT Interest Earned",2024-08-21 05:00:00
NXT5urRySWMtMk03BnYi3YlKS,Interest,USDT,2.18518200,USDT,2.18518200,$2.19,-,-,"approved / USDT Interest Earned",2024-08-20 05:00:00
NXT55MeNpH8p88GiFx5IdndqG,Interest,NEXO,0.04897844,NEXO,0.04897844,$0.05,-,-,"approved / NEXO Interest Earned",2024-08-20 05:00:00
NXT6Rc6T2ssXymdBaxyj5CWe7,Interest,USDT,2.18461200,USDT,2.18461200,$2.18,-,-,"approved / USDT Interest Earned",2024-08-19 05:00:00
NXT6SxpC6JGMkUIj1PEGjuya,Interest,NEXO,0.04897318,NEXO,0.04897318,$0.05,-,-,"approved / NEXO Interest Earned",2024-08-19 05:00:00
NXT5AFJneG7wkL67qOqgrWMhd,Interest,USDT,2.18404100,USDT,2.18404100,$2.18,-,-,"approved / USDT Interest Earned",2024-08-18 05:00:00
NXT1reCxJ5VL1pBp1syTCKqRZ,Interest,NEXO,0.04896791,NEXO,0.04896791,$0.05,-,-,"approved / NEXO Interest Earned",2024-08-18 05:00:00
NXT4ygCT1xBs4Zsc87EEiJ9L3,Interest,NEXO,0.04896265,NEXO,0.04896265,$0.05,-,-,"approved / NEXO Interest Earned",2024-08-17 05:00:00
NXT3oYm8yo4b2Bslcu74oV2TY,Interest,USDT,2.18347100,USDT,2.18347100,$2.19,-,-,"approved / USDT Interest Earned",2024-08-17 05:00:00
NXT7OjehHmFmDf9kFaV4cWWye,Interest,NEXO,0.04895739,NEXO,0.04895739,$0.05,-,-,"approved / NEXO Interest Earned",2024-08-16 05:00:00
NXT546Xtun1onoTLlJgylnywh,Interest,USDT,2.18290100,USDT,2.18290100,$2.18,-,-,"approved / USDT Interest Earned",2024-08-16 05:00:00
NXT3dVDr7i3zkfAk7go8j5iE9,Interest,USDT,2.18233100,USDT,2.18233100,$2.18,-,-,"approved / USDT Interest Earned",2024-08-15 05:00:00
NXT2OGPm3vBy6L9Z4MCfgqjJL,Interest,NEXO,0.04895213,NEXO,0.04895213,$0.05,-,-,"approved / NEXO Interest Earned",2024-08-15 05:00:00
NXT6TgOlkzKb8elzU3Utm4Huf,Interest,NEXO,0.04894687,NEXO,0.04894687,$0.05,-,-,"approved / NEXO Interest Earned",2024-08-14 05:00:00
NXTYFtbR6ufU4Ugih7ZyzGH1,Interest,USDT,2.18176100,USDT,2.18176100,$2.18,-,-,"approved / USDT Interest Earned",2024-08-14 05:00:00
NXT7afuYsfDOvJ0roOQecCmB8,Interest,USDT,2.18119100,USDT,2.18119100,$2.18,-,-,"approved / USDT Interest Earned",2024-08-13 05:00:00
NXT78r0f9rXX2JPhr4zDJCHuT,Interest,NEXO,0.04894161,NEXO,0.04894161,$0.05,-,-,"approved / NEXO Interest Earned",2024-08-13 05:00:00
NXT7AXlZjWCtrUoV8hoAeu2,Withdrawal,USDT,-700.31365400,USDT,700.00000000,$700.46,0.31365404,USDT,"approved / USDT withdrawal",2024-08-12 13:28:26
NXT5DrKvZM0RmNAeuuk6JVrnt,Interest,NEXO,0.04893635,NEXO,0.04893635,$0.05,-,-,"approved / NEXO Interest Earned",2024-08-12 05:00:00
NXTb9Cx8D24Y4q4gkP8ziFH5,Interest,USDT,2.36346700,USDT,2.36346700,$2.36,-,-,"approved / USDT Interest Earned",2024-08-12 05:00:00
NXT5nvXA0WPn9rTqtf3bcYtgI,Interest,USDT,2.36285000,USDT,2.36285000,$2.36,-,-,"approved / USDT Interest Earned",2024-08-11 05:00:00
NXT3sBlzxTHxb7yUkVlfEgRtq,Interest,NEXO,0.04893110,NEXO,0.04893110,$0.05,-,-,"approved / NEXO Interest Earned",2024-08-11 05:00:00
NXT5jn0RraQp8jy3YfoORYC4u,Interest,NEXO,0.04892584,NEXO,0.04892584,$0.05,-,-,"approved / NEXO Interest Earned",2024-08-10 05:00:00
NXT5Dn5r3gH7sk2AcF8AGYGQg,Interest,USDT,2.36223300,USDT,2.36223300,$2.36,-,-,"approved / USDT Interest Earned",2024-08-10 05:00:00
NXT2YHYBP6lj3snk3yMh3fgbC,Interest,NEXO,0.04892058,NEXO,0.04892058,$0.05,-,-,"approved / NEXO Interest Earned",2024-08-09 05:00:00
NXT8X7gGucvEB8MRv4FsBiKW,Interest,USDT,2.36161600,USDT,2.36161600,$2.36,-,-,"approved / USDT Interest Earned",2024-08-09 05:00:00
NXT2vOtH5ZFY7Pdt675ebOZWH,Interest,NEXO,0.04891533,NEXO,0.04891533,$0.05,-,-,"approved / NEXO Interest Earned",2024-08-08 05:00:00
NXT1Q9187YzStY6zyHHEyZh4n,Interest,USDT,2.19154300,USDT,2.19154300,$2.19,-,-,"approved / USDT Interest Earned",2024-08-08 05:00:00
NXT5saxA7N2mX2OF2MrWuqChZ,Interest,USDT,2.36042700,USDT,2.36042700,$2.36,-,-,"approved / USDT Interest Earned",2024-08-07 05:00:00
NXT4n4kE9DtQX7efC5FWtSQii,Interest,NEXO,0.04891007,NEXO,0.04891007,$0.05,-,-,"approved / NEXO Interest Earned",2024-08-07 05:00:00
NXT2QX8U8DTkAzprArDFtDaqt,Interest,USDT,2.19044000,USDT,2.19044000,$2.19,-,-,"approved / USDT Interest Earned",2024-08-06 05:00:00
NXT19x57s1ZKfOREByOoBXmNy,Interest,NEXO,0.04890481,NEXO,0.04890481,$0.05,-,-,"approved / NEXO Interest Earned",2024-08-06 05:00:00
NXT677IY6ZJOC8JtPxtdBwYb2,Interest,NEXO,0.04889956,NEXO,0.04889956,$0.05,-,-,"approved / NEXO Interest Earned",2024-08-05 05:00:00
NXT13yeqYoTRclWCG25hlF4t8,Interest,USDT,2.18990900,USDT,2.18990900,$2.19,-,-,"approved / USDT Interest Earned",2024-08-05 05:00:00
NXT1eANkKGHpWpKmhUjhF4T3A,Interest,NEXO,0.04889431,NEXO,0.04889431,$0.05,-,-,"approved / NEXO Interest Earned",2024-08-04 05:00:00
NXTLpmmQl0N2uQKLsBzzbD3l,Interest,USDT,2.35866700,USDT,2.35866700,$2.36,-,-,"approved / USDT Interest Earned",2024-08-04 05:00:00
NXT5zVfwHRKXw9HhBdXiltJWi,Interest,NEXO,0.04888905,NEXO,0.04888905,$0.05,-,-,"approved / NEXO Interest Earned",2024-08-03 05:00:00
NXT1esMSmPkHT96hO02Hhmri6,Interest,USDT,2.35805100,USDT,2.35805100,$2.36,-,-,"approved / USDT Interest Earned",2024-08-03 05:00:00
NXT7O6CAO4fNEbtE72i4Vd5Ue,Interest,NEXO,0.04888380,NEXO,0.04888380,$0.06,-,-,"approved / NEXO Interest Earned",2024-08-02 05:00:00
